dataset,group_id,band80_centroid_hz
HF_Lung,date:20190801,336.7043551239982
HF_Lung,date:20190802,270.26887976516855
HF_Lung,date:20190803,274.9237975116503
HF_Lung,date:20190805,266.6839511877782
HF_Lung,date:20190806,282.9114097728037
HF_Lung,date:20190807,276.6905033575679
HF_Lung,date:20190808,217.34202012471297
HF_Lung,date:20190809,280.99525936433463
HF_Lung,date:20190810,341.4108084502908
HF_Lung,date:20190811,271.9963545596608
HF_Lung,date:20190812,261.2973263435013
HF_Lung,date:20190813,323.73693166662724
HF_Lung,date:20190815,261.9364896086273
HF_Lung,date:20190816,250.47702277174145
HF_Lung,date:20190818,311.28538986679246
HF_Lung,date:20190819,290.30546068850856
HF_Lung,date:20190821,204.1013895986044
HF_Lung,date:20190822,221.49115976480743
HF_Lung,date:20190824,270.44901010067485
HF_Lung,date:20190825,282.54009494092367
HF_Lung,date:20190828,246.7091786020095
HF_Lung,date:20190901,297.03557236255216
HF_Lung,date:20190902,312.3722647274012
HF_Lung,date:20190903,335.3989153870828
HF_Lung,date:20190908,258.88588068278125
HF_Lung,date:20190917,284.3786305537845
HF_Lung,date:20190918,322.44178536760705
HF_Lung,date:20190920,262.54910255979127
HF_Lung,date:20190922,223.542913438996
HF_Lung,date:20190926,261.2807448688971
HF_Lung,date:20190928,270.9992767360904
HF_Lung,date:20190929,243.70779876457465
HF_Lung,date:20191001,332.1140484365141
HF_Lung,date:20191006,273.5596410494004
HF_Lung,date:20191017,232.24055808770137
HF_Lung,date:20191025,268.27748449591263
HF_Lung,date:20191027,202.7009435076007
HF_Lung,date:20191029,394.8249315662257
HF_Lung,date:20191030,318.29995390922807
ICBHI,101,122.51060884108496
ICBHI,102,167.06820166490522
ICBHI,103,209.0572558487837
ICBHI,104,215.48478818775155
ICBHI,105,859.1366193130837
ICBHI,106,114.76325993951014
ICBHI,107,144.32958319219796
ICBHI,108,110.46387806625177
ICBHI,109,162.2150379212166
ICBHI,110,141.29162776643173
ICBHI,111,526.0125451548722
ICBHI,112,142.47174340442604
ICBHI,113,166.26199415530073
ICBHI,114,134.59005913904969
ICBHI,115,184.1309086825395
ICBHI,116,354.8726496266953
ICBHI,117,290.3551980019755
ICBHI,118,183.4785255829211
ICBHI,119,129.06806381154166
ICBHI,120,154.70598460447036
ICBHI,121,411.4680564367341
ICBHI,122,139.07057860281125
ICBHI,123,113.62845853759563
ICBHI,124,184.80326266296584
ICBHI,125,647.3645783631162
ICBHI,126,123.74938545733625
ICBHI,127,120.54061670576742
ICBHI,128,257.5596095916531
ICBHI,129,143.25127632839371
ICBHI,130,127.99674954096034
ICBHI,131,196.36395738463153
ICBHI,132,145.82647715208338
ICBHI,133,135.7161059621429
ICBHI,134,146.82251271164952
ICBHI,135,158.2719809467388
ICBHI,136,119.82207482778168
ICBHI,137,122.35958405738572
ICBHI,138,129.59575930217378
ICBHI,139,186.32124981296215
ICBHI,140,144.88950560509542
ICBHI,141,147.34051876127776
ICBHI,142,141.43659383443403
ICBHI,143,153.49083807225463
ICBHI,144,227.6037774029835
ICBHI,145,130.696838494021
ICBHI,146,160.05849328512176
ICBHI,147,132.7866086480614
ICBHI,148,298.9139877181596
ICBHI,149,159.20932023235477
ICBHI,150,117.28918608222466
ICBHI,151,125.90577779637375
ICBHI,152,132.8615392065369
ICBHI,153,155.90793294475537
ICBHI,154,147.3821427844104
ICBHI,155,124.2798091345293
ICBHI,156,146.09177597550752
ICBHI,157,150.72028854806766
ICBHI,158,127.32910924699252
ICBHI,159,138.35005451833663
ICBHI,160,124.79601243951096
ICBHI,161,166.70441744016557
ICBHI,162,161.32570793336976
ICBHI,163,148.69125743659094
ICBHI,164,142.83480368838752
ICBHI,165,138.35230640837287
ICBHI,166,122.55291882081742
ICBHI,167,151.7967943750368
ICBHI,168,111.51095537602662
ICBHI,169,189.22272239457865
ICBHI,170,154.88047530394454
ICBHI,171,120.48628364955114
ICBHI,172,149.77624776124165
ICBHI,173,114.62361734557804
ICBHI,174,150.38295830844032
ICBHI,175,152.60237134905697
ICBHI,176,144.69894786079982
ICBHI,177,127.094266734431
ICBHI,178,173.59802494433717
ICBHI,179,236.78965221857587
ICBHI,180,133.95310805165718
ICBHI,181,248.50721942881563
ICBHI,182,143.73791823118728
ICBHI,183,245.59874992532752
ICBHI,184,125.21091029849416
ICBHI,185,140.06051971997357
ICBHI,186,138.7895687508199
ICBHI,187,215.8442936221132
ICBHI,188,162.40716766146318
ICBHI,189,128.34647743811743
ICBHI,190,151.17043732471146
ICBHI,191,129.13538344777746
ICBHI,192,126.32650186002932
ICBHI,193,160.11233204270786
ICBHI,194,140.7372842623097
ICBHI,195,200.5582270183874
ICBHI,196,109.4146839127724
ICBHI,197,143.16609461780456
ICBHI,198,131.44318169848427
ICBHI,199,96.90076077179822
ICBHI,200,147.46823101632984
ICBHI,201,149.6163328779432
ICBHI,202,132.0846653227744
ICBHI,203,172.1643511868572
ICBHI,204,264.2274032124998
ICBHI,205,118.06283599366398
ICBHI,206,122.98890188670224
ICBHI,207,160.62349874268872
ICBHI,208,171.1858179003052
ICBHI,209,424.8116886574125
ICBHI,210,181.46403962287025
ICBHI,211,159.70348389976664
ICBHI,212,136.69532426139045
ICBHI,213,121.9390528695734
ICBHI,214,144.66020882094583
ICBHI,215,290.8681612623229
ICBHI,216,136.66340861883094
ICBHI,217,234.393430542584
ICBHI,218,150.654967345672
ICBHI,219,122.01892436614166
ICBHI,220,184.72113311035912
ICBHI,221,150.73923896707086
ICBHI,222,157.9616243564459
ICBHI,223,154.3558020091557
ICBHI,224,117.44298511354816
ICBHI,225,137.75808947998712
ICBHI,226,181.53500163102737
KAUH,P1,158.2218774850629
KAUH,P10,196.29712169629067
KAUH,P100,196.45107948030943
KAUH,P101,136.0616168973285
KAUH,P102,118.13599809130665
KAUH,P103,151.30856291302783
KAUH,P104,109.75301042915888
KAUH,P105,141.89239929174656
KAUH,P106,213.60287450070317
KAUH,P107,121.3440344669141
KAUH,P108,189.02532055233848
KAUH,P109,122.21064726181302
KAUH,P11,191.1803071559407
KAUH,P110,176.26722131617777
KAUH,P111,216.8328258272806
KAUH,P112,112.31734248348457
KAUH,P12,180.0394245833024
KAUH,P13,118.65723417118502
KAUH,P14,172.37835242587917
KAUH,P15,297.0416117036778
KAUH,P16,125.02594571902516
KAUH,P17,135.91046547482446
KAUH,P18,137.67053093630258
KAUH,P19,154.99941715167546
KAUH,P2,324.2676226868769
KAUH,P20,130.4917075675849
KAUH,P21,135.6663488934548
KAUH,P22,287.58845953886015
KAUH,P23,254.60168824917207
KAUH,P24,246.5342561552869
KAUH,P25,188.1405284346879
KAUH,P26,247.55093555612763
KAUH,P27,149.07713273508327
KAUH,P28,144.55708783347674
KAUH,P29,116.20863799329484
KAUH,P3,135.82164938768523
KAUH,P30,114.5959967138179
KAUH,P31,167.50253091127692
KAUH,P32,190.3489445912865
KAUH,P33,184.16907781242008
KAUH,P34,367.9505792801853
KAUH,P35,171.86904950031737
KAUH,P36,131.58118092835667
KAUH,P37,150.00295479506244
KAUH,P38,198.7326430463761
KAUH,P39,144.09545790984578
KAUH,P4,236.9020961008044
KAUH,P40,132.71172124414747
KAUH,P41,104.42035845477324
KAUH,P42,274.8382387338762
KAUH,P43,160.98453829881782
KAUH,P44,155.54262699463197
KAUH,P45,222.71512859210205
KAUH,P46,146.26125582497198
KAUH,P47,129.21158498427303
KAUH,P48,191.115513626568
KAUH,P49,221.49102089073563
KAUH,P5,188.72984564747688
KAUH,P50,198.37722197859105
KAUH,P51,114.17411106014262
KAUH,P52,141.86911966198628
KAUH,P53,151.05415055680157
KAUH,P54,162.98201395077623
KAUH,P55,126.61307271695132
KAUH,P56,112.64765077441946
KAUH,P57,113.07934603131876
KAUH,P58,233.35830694022383
KAUH,P59,159.42409664760748
KAUH,P6,108.92345102497224
KAUH,P60,370.8914831470871
KAUH,P61,190.2179860691828
KAUH,P62,130.85081716006508
