dataset,group_id,PC1,PC2,weight
HF_Lung,date:20190801,2.676493850615949,0.16153187779633665,0.00641025641025641
HF_Lung,date:20190802,1.580608028713795,-0.6789466315529769,0.00641025641025641
HF_Lung,date:20190803,1.6831562150024255,0.1756662179708378,0.00641025641025641
HF_Lung,date:20190805,1.9634157943450856,0.5699899454008438,0.00641025641025641
HF_Lung,date:20190806,2.017639752600958,1.8303346038333608,0.00641025641025641
HF_Lung,date:20190807,1.9019526710172971,0.1009712781579478,0.00641025641025641
HF_Lung,date:20190808,0.5258576790828174,-1.2028786613216216,0.00641025641025641
HF_Lung,date:20190809,1.7541441272410143,-0.1752471228735205,0.00641025641025641
HF_Lung,date:20190810,2.358969692286333,-1.1417811617901423,0.00641025641025641
HF_Lung,date:20190811,1.7217071093692549,0.039847316154562044,0.00641025641025641
HF_Lung,date:20190812,1.1548227028816493,-0.020862814502248313,0.00641025641025641
HF_Lung,date:20190813,2.4643271040817063,0.3772956738607334,0.00641025641025641
HF_Lung,date:20190815,1.3970286451708696,-0.17347046337197422,0.00641025641025641
HF_Lung,date:20190816,1.6278647311849206,0.8007526692935195,0.00641025641025641
HF_Lung,date:20190818,1.9915003051614963,-1.1461613112286828,0.00641025641025641
HF_Lung,date:20190819,1.738877819290052,1.0433677604486051,0.00641025641025641
HF_Lung,date:20190821,0.569364857690758,-0.7775450273070573,0.00641025641025641
HF_Lung,date:20190822,1.0139329988630925,1.4974295808593017,0.00641025641025641
HF_Lung,date:20190824,1.5488579136565919,-0.8582410533764966,0.00641025641025641
HF_Lung,date:20190825,1.5718730210555028,-1.03999680700694,0.00641025641025641
HF_Lung,date:20190828,0.9006836657358306,-0.6405855596977484,0.00641025641025641
HF_Lung,date:20190901,1.943426551312188,-0.6799996669896605,0.00641025641025641
HF_Lung,date:20190902,2.0982471966251968,-0.2678484480166927,0.00641025641025641
HF_Lung,date:20190903,2.0880635685262514,-1.1172121830860118,0.00641025641025641
HF_Lung,date:20190908,1.456550920355065,-0.2396109353055393,0.00641025641025641
HF_Lung,date:20190917,1.9012889400184019,-0.05610253360037732,0.00641025641025641
HF_Lung,date:20190918,2.562867452409791,0.6667174151515646,0.00641025641025641
HF_Lung,date:20190920,1.4485386828504574,-0.5877323866378936,0.00641025641025641
HF_Lung,date:20190922,1.019077259556608,-0.14206431650762888,0.00641025641025641
HF_Lung,date:20190926,1.7594389820674008,0.11687933678003491,0.00641025641025641
HF_Lung,date:20190928,1.6704231610765161,0.24750780478111334,0.00641025641025641
HF_Lung,date:20190929,1.1532098598974092,-0.5170326820642571,0.00641025641025641
HF_Lung,date:20191001,2.6211474903152396,0.8170970560303294,0.00641025641025641
HF_Lung,date:20191006,1.5068398058294687,-0.8641382160968855,0.00641025641025641
HF_Lung,date:20191017,0.9874495302136539,-1.0126696087997873,0.00641025641025641
HF_Lung,date:20191025,1.5976244139892946,0.20176876256206444,0.00641025641025641
HF_Lung,date:20191027,0.3180140448476486,-0.5922807782589558,0.00641025641025641
HF_Lung,date:20191029,2.497208952964578,-1.6118048349569767,0.00641025641025641
HF_Lung,date:20191030,2.154286971532557,-1.4842194068814252,0.00641025641025641
ICBHI,101,-1.6438941433978942,-0.41261214303053545,0.001984126984126984
ICBHI,102,-0.5062990405828486,-0.7411723783183048,0.001984126984126984
ICBHI,103,1.0228860764389804,-0.7257424494480341,0.001984126984126984
ICBHI,104,0.766258548280772,1.480012971934685,0.001984126984126984
ICBHI,105,7.3409994264967695,5.968825337942087,0.001984126984126984
ICBHI,106,-2.8949036142077205,0.8734588725169798,0.001984126984126984
ICBHI,107,-0.9606975878731395,-0.5837137256300133,0.001984126984126984
ICBHI,108,-2.1050498333005634,-0.3405231570555938,0.001984126984126984
ICBHI,109,-0.8171595324391299,-0.034697875878899574,0.001984126984126984
ICBHI,110,-0.6312622242999081,-0.3307454031689359,0.001984126984126984
ICBHI,111,4.243679764742139,-0.22963313419712325,0.001984126984126984
ICBHI,112,-0.7569791245212649,-0.9491470712232069,0.001984126984126984
ICBHI,113,-0.5664020119943578,1.0615775088311508,0.001984126984126984
ICBHI,114,-0.6792130871736893,-0.14525573392727037,0.001984126984126984
ICBHI,115,-0.06221214811101187,-1.1614355987573242,0.001984126984126984
ICBHI,116,3.3590415063872334,3.247511076954112,0.001984126984126984
ICBHI,117,1.2699534641091172,-1.3489501456024617,0.001984126984126984
ICBHI,118,0.008286072946336041,1.0097629287268535,0.001984126984126984
ICBHI,119,-1.3233161288966502,-0.6232460700826121,0.001984126984126984
ICBHI,120,-0.012480494756777795,-0.6641654189349474,0.001984126984126984
ICBHI,121,2.7719198571018477,-1.9540709240553678,0.001984126984126984
ICBHI,122,-1.1480440186508851,-0.11279233351708212,0.001984126984126984
ICBHI,123,-1.8725022217028617,-0.5475108370807761,0.001984126984126984
ICBHI,124,-0.04540391287207399,1.6274026418202578,0.001984126984126984
ICBHI,125,3.952887413962465,-2.2044682513075045,0.001984126984126984
ICBHI,126,-1.7707939848676526,-0.4373244640609889,0.001984126984126984
ICBHI,127,-1.6631371699505653,-0.5652459487179827,0.001984126984126984
ICBHI,128,1.0448771927620375,-1.420305087789578,0.001984126984126984
ICBHI,129,-0.5975821860975882,-0.33419385629178344,0.001984126984126984
ICBHI,130,-1.4688982976389144,-0.48832260179793147,0.001984126984126984
ICBHI,131,0.27210945478275833,-1.2203982799892583,0.001984126984126984
ICBHI,132,-0.8793483900883416,-0.5743067252147378,0.001984126984126984
ICBHI,133,-1.1560755979800257,-0.4002423010804791,0.001984126984126984
ICBHI,134,-0.5636190513597674,1.0308663582970476,0.001984126984126984
ICBHI,135,-0.7915202011276736,-0.1766431692962447,0.001984126984126984
ICBHI,136,-1.8797060885057801,-0.3581846466181185,0.001984126984126984
ICBHI,137,-1.58339582418642,-0.6147355068905714,0.001984126984126984
ICBHI,138,-1.696654827334008,-0.1867310334654653,0.001984126984126984
ICBHI,139,0.12737782985051788,1.0306411770606965,0.001984126984126984
ICBHI,140,-0.5937426163674532,-0.5610713176101123,0.001984126984126984
ICBHI,141,-1.489374892292862,0.1259356518134027,0.001984126984126984
ICBHI,142,-1.4911182871323978,-0.0693219020467915,0.001984126984126984
ICBHI,143,-0.7963301794819403,-0.7010995185009754,0.001984126984126984
ICBHI,144,0.8321340118243475,-1.4362565475142248,0.001984126984126984
ICBHI,145,-1.611792641704956,-0.37659605242469346,0.001984126984126984
ICBHI,146,-0.8242889032405212,-0.3854362467363976,0.001984126984126984
ICBHI,147,-1.0207656141056713,-0.5862468397317826,0.001984126984126984
ICBHI,148,1.9290314325030125,-1.7230508225277519,0.001984126984126984
ICBHI,149,-0.5708152626016926,1.3084927740032752,0.001984126984126984
ICBHI,150,-1.8891432827565047,-0.3862907691652081,0.001984126984126984
ICBHI,151,-1.510608552098068,-0.588461352876708,0.001984126984126984
ICBHI,152,-1.3816067534072136,-0.5763751498023146,0.001984126984126984
ICBHI,153,-0.6807241816234,-0.7197505867866771,0.001984126984126984
ICBHI,154,-0.9789352404781191,-0.5121543016305107,0.001984126984126984
ICBHI,155,-1.687147740013335,-0.4246848231973303,0.001984126984126984
ICBHI,156,-0.7495441486881049,-0.4253701793593874,0.001984126984126984
ICBHI,157,-0.34414558752678964,-0.44799883637132265,0.001984126984126984
ICBHI,158,-1.6740347298707097,-0.3249062051424201,0.001984126984126984
ICBHI,159,-1.230222734051462,-0.5806366891085643,0.001984126984126984
ICBHI,160,-1.7274340137502684,-0.2935253929819358,0.001984126984126984
